Titel,URL,Titel,URL
Geoportal der SBV,https://geoviewer.sachsen.de/mapviewer2/index.html?app=geoportal-sbv&lang=de,Bundesamt für Seeschifffahrt und Hydrographie (BSH),https://www.geoseaportal.de
Hochsauerlandkreis,https://gis.hochsauerlandkreis.de/arcgis6/rest/services,"Die Senatorin für Gesundheit, Frauen und Verbraucherschutz",https://www.gesundheit.bremen.de/
Technische Universität Chemnitz,https://gitlab.hrz.tu-chemnitz.de/opener/opener-app,Hannover,https://www.hannover.de/
Universität Hamburg - Integrated Climate Data Center (ICDC),https://icdc.cen.uni-hamburg.de/all-data.html,Ministerium der Finanzen des Landes NRW,https://www.haushalt.fm.nrw.de/
ILS – Institut für Landes- und Stadtentwicklungsforschung,https://ils-geomonitoring.de/documents,Fraunhofer Institut für Intelligente Analyse- und Informationssysteme IAIS,https://www.iais.fraunhofer.de/
Landesamt für Umwelt Brandenburg (LfU),https://lfu.brandenburg.de,ifak e.V.,https://www.ifak.eu/de
"Stadt Frankfurt am Main, Straßenverkehrsamt Verkehrsmanagement",https://mainziel.de/,Ministerium des Innern des Landes NRW,https://www.im.nrw/
MKP GmbH,https://marxkrontal.com/de/,Leibniz-Institut für ökologische Raumentwicklung (IÖR),https://www.ioer.de/home/
Technische Universität Hamburg (TUHH),https://mdi-de.baw.de/easygsh/,ITZ-Bund,https://www.itzbund.de/DE/Home/home_node.html
MechLab Engineering UG,https://mechlab-engineering.de/,Fraunhofer-Institut für Verkehrs- und Infrastruktursysteme IVI,https://www.ivi.fraunhofer.de/
Bundesamt für Kartographie und Geodäsie (BKG),https://mis.bkg.bund.de/portal/,Stadt Kassel,https://www.kassel.de/
"Brandenburg - Ministerium für Landwirtschaft, Umwelt und Klimaschutz (MLUK)",https://mluk.brandenburg.de/mluk/de/,Kraftfahrt-Bundesamt (KBA),https://www.kba.de
Bundesanstalt für Materialforschung und -prüfung,https://netzwerke.bam.de/Netzwerke/Navigation/DE/Home/home.html,Landeshauptstadt Kiel,https://www.kiel.de/opendata
Stadt Hennef (Sieg),https://nextcloud.stadt-hennef.de/index.php/login,,https://www.kreis-offenbach.de/B%C3%BCrgerservice/Online-Dienste/Offene-Daten
Offene Daten Köln,https://offenedaten-koeln.de/,Kreis Recklinghausen,https://www.kreis-re.de
Open Data Portal Aachen,https://offenedaten.aachen.de,Zentrales Datenmanagement der WSD Nord im Wasserstraßen- und Schifffahrtsamt Hamburg Sachbereich 4 Neubau,https://www.kuestendaten.de/DE/Startseite/Startseite_Kuestendaten_node.html
Offene Daten kdvz Rhein-Erft-Rur,https://offenedaten.kdvz-frechen.de,Staatskanzlei des Landes NRW,https://www.land.nrw/de/landesregierung/ministerpraesident/staatskanzlei
Offene Daten Bielefeld,https://open-data.bielefeld.de/,Landesdatenbank NRW,https://www.landesdatenbank.nrw.de
Bundesanstalt für Landwirtschaft und Ernährung,https://open-data.ble.de/dataset,Agrarmeteorologischer Dienst,https://www.landwirtschaft.sachsen.de/Wetter09/asp/inhalt.asp?seite=uebersicht
Das Open-Government-Portal in NRW,https://open.nrw/,LGL Baden-Württemberg,https://www.lgl-bw.de/unsere-themen/Produkte/Open-Data/
Open Data Duisburg,https://opendata-duisburg.de/,Landesinstitut für Arbeitsgestaltung NRW,https://www.lia.nrw.de/
Bundesanstalt für Straßenwesen (BASt),https://opendata.bast.de,LISt GmbH,https://www.list.sachsen.de/
Bayern,https://opendata.bayern.de,Messwerte der Talsperrenverwaltung,https://www.ltv.sachsen.de/tmz/uebersicht.html
Offene Daten Bonn,https://opendata.bonn.de/,Sachsen-Anhalt,https://www.lvermgeo.sachsen-anhalt.de/de/dienste__download/dienste-und-download.html
Open Data Portal der Stadt Dormagen,https://opendata.dormagen.de,Landeszentrum Gesundheit NRW,https://www.lzg.nrw.de/
Offene Daten für Dortmund,https://opendata.dortmund.de,Materna Information & Communications SE,https://www.materna.de
Offene Daten für Dresden,https://opendata.dresden.de/,Das offene Datenportal des BMVI,https://www.mcloud.de/
Open Data Düsseldorf,https://opendata.duesseldorf.de,plan-GIS GmbH,https://www.mdi-de.org
Deutscher Wetterdienst,https://opendata.dwd.de/,"Ministerium für Heimat, Kommunales, Bau und Gleichstellung des Landes NRW",https://www.mhkbg.nrw/
Offene Daten Essen,https://opendata.essen.de,"Ministerium für Kinder, Familie, Flüchtlinge und Integration des Landes NRW",https://www.mkffi.nrw/
Offene Daten Gelsenkirchen,https://opendata.gelsenkirchen.de/,Ministerium für Kultur und Wissenschaft des Landes NRW,https://www.mkw.nrw/
Offene Daten der Stadt Leipzig,https://opendata.leipzig.de/,Baden-Württemberg Mobidata,https://www.mobidata-bw.de/dataset
Open-Data-Portal der Stadt Meerbusch,https://opendata.meerbusch.de,"Ministerium für Wirtschaft, Innovation, Digitalisierung und Energie des Landes NRW",https://www.mpanrw.de/
Open Data Rhein-Kreis Neuss,https://opendata.rhein-kreis-neuss.de,Max Rubner-Institut,https://www.mri.bund.de/de/service/datenbanken/
Open-Data-Portal des Rhein-Neckar-Verkehrs (RNV),https://opendata.rnv-online.de/search/type/dataset,TSC Beratende Ingenieure für Verkehrswesen GmbH & Co. KG,https://www.mvup.de/
Regionalverband Ruhr,https://opendata.ruhr/,Naturschutzdaten,https://www.natur.sachsen.de
OpenData Schleswig-Holstein,https://opendata.schleswig-holstein.de,Stadt Ennigerloh,https://www.o-sp.de/ennigerloh/
Offene Daten Münster,https://opendata.stadt-muenster.de/,Offene Daten Wuppertal,https://www.offenedaten-wuppertal.de/
VAG Verkehrs-Aktiengesellschaft Nürnberg,https://opendata.vag.de/,Offenesdatenportal,https://www.offenesdatenportal.de/
Stadt Würzburg,https://opendata.wuerzburg.de/pages/erkunden/,Publikationsserver OPEN AGRAR,https://www.openagrar.de/content/index.xml
Zentrales IT-Management Schleswig-Holstein,https://opendata.zitsh.de,Open Data Rostock,https://www.opendata-hro.de/
Heidelberg Institute for Geoinformation Technology,https://openrouteservice.org/,Freistaat Sachsen,https://www.opendata.sachsen.de/Daten_finden.htm
Fraunhofer-Center für Maritime Logistik und Dienstleistungen CML,https://owncloud.fraunhofer.de/,Open NRW: Geoportal,https://www.opengeodata.nrw.de/
Polizei NRW,https://polizei.nrw/,München,https://www.opengov-muenchen.de/
Open Data Portal der Stadt Chemnitz,https://portal-chemnitz.opendata.arcgis.com/,Prof. Schaller UmweltConsult GmbH,https://www.psu-schaller.de/
Deutsche Nationalbibliothek,https://portal.dnb.de/,Qualitäts- und UnterstützungsAgentur - Landesinstitut für Schule NRW,https://www.qua-lis.nrw.de/
Universität Rostock - Agrar- und Umweltwissenschaftliche Fakultät Professur für Geodäsie und Geoinformatik,https://portal.opengeoedu.de/,Statistische Ämter des Bundes und der Länder,https://www.regionalstatistik.de/
Karlsruher Institut für Technologie (KIT),https://primo.bibliothek.kit.edu/primo_library/libweb/action/search.do,S-Bahn Hamburg GmbH,https://www.s-bahn-hamburg.de/s_hamburg/view/index.shtml
Hessen,https://prototyp.geoportal.hessen.de/,S-Bahn Stuttgart,https://www.s-bahn-stuttgart.de/s-stuttgart
Raumplanungsinformationssystem (Rapis),https://rapis.sachsen.de/,FGIS Services,https://www.sbs.sachsen.de/
Deutsches Patent- und Markenamt,https://register.dpma.de/DPMAregister/Uebersicht?lang=de,Schleswig-Holstein Webseite,https://www.schleswig-holstein.de
Regionales Klimainformations-system (ReKIS),https://rekis.hydro.tu-dresden.de/,Ministerium für Schule und Bildung des Landes NRW,https://www.schulministerium.nrw.de/
Verkehrsverbund Rhein-Sieg GmbH,https://sevas.nrw.de/,smile consult GmbH (smile),https://www.smileconsult.de/
Smart City System GmbH,https://smart-city-system.com/,Stadt Soest,https://www.soest.de
Wassertourismus Schleswig-Hosteil e.V.,https://surfen-sh.de,"Die Senatorin für Soziales, Jugend, Integration und Sport",https://www.soziales.bremen.de/
TU Dresden,https://tu-dresden.de/,Statistisches Amt für Hamburg und Schleswig-Holstein - Anstalt des öffentlichen Rechts - (Statistikamt Nord) ,https://www.statistik-nord.de
Viscan Solutions GmbH,https://viscan.de/,Statistisches Landesamt Bremen,https://www.statistik.bremen.de/
Institut für Systemoptimierung des Karlsruhe Institute of Technology,https://vision-mfund.de/?page_id=441,Sachsen Regionalstatistik Portal,https://www.statistik.sachsen.de/
Verkehrs Management Zentrale Bremen,https://vmz.bremen.de,Strassen Nordrhein-Westfalen,https://www.strassen.nrw.de
Sozialhelden e.V.: Wheelmap.org,https://wheelmap.org/,Succow Stiftung,https://www.succow-stiftung.de/
