url
213168213236
185.223.104.6
aachen.de
achtet-auf-bruehl.de
adressen.leipzig.de
adv-online.de
alt.wahlergebnisse.nrw.de
altenburg.eu/sixcms/detail.php?id=139875
anliegen.bonn.de
antidiskriminierungsstelle.de
api.deutsche-digitale-bibliothek.de
api.nextbike.net
apileipzig.de/
arcgis.com
auswaertiges-amt.de
awbkoeln.de
badv.bund.de
bafa.de
bafza.de
bag.bund.de
bamf.de
bast.de
bauumwelt.bremen.de
baysis.bayern.de
bbk.bund.de
bbsr.bund.de
bcp-bonn.de
bdbos.bund.de
bdew.de
berlin.de
bescha.bund.de
beteiligungsbericht.fb.hamburg.de
bfarm.de
bfdi.bund.de
bfn.de
bfr.bund.de
bfu-web.de
bib.bund.de
bielefeld01.de
bildung.bremen.de
bka.de
ble.de
bmbf.de
bmel-statistik.de
bmi.bund.de
bmvg.de
bmvi.de
bmwi.de
bmz.de
bochum.de/opendata
bonn-macht-mit.de
bonn.de
bonn.jetzt
bonn.sitzung-online.de
bpb.de
bra.nrw.de
braunschweig.de/leben/stadtplanung_bauen/geoinformationen/opengeodata.html
bremen.de
bsi.bund.de
bsis.aachen.de
bsr.de
bstu.bund.de
bstu.de
buergerhaushalt.stadt-koeln.de
buergerinfo.moers.de
buergerservice.bremen.de
bund.de/Content/DE/Ausschreibungen/Suche/Formular.html?nn=4641482&gtp=4642258_list%253D2&type=0&searchResult=true
bundesfinanzministerium.de
bundesgesundheitsministerium.de
bundeshaushalt-info.de
bundeshaushalt.de
bundesjustizamt.de
bundeskanzlerin.de
bundeskartellamt.de
bundesnetzagentur.de
bundespolizei.de
bundespruefstelle.de
bundesregierung.de
bundessortenamt.de
bundestag.de
bundesversicherungsamt.de
bundeswahlleiter.de
businesslocationcenter.de
bwb.de
bzga.de
bzst.de
cdc.dwd.de
conterra.de
data-run.info
data.deutschebahn.com
data.gelsen.net
data.ulm.de
data.wennigsen.net/
databox.bonn.de
datarun.s3.amazonaws.com
Daten-hamburg.de
daten-hamburg.de
daten.berlin.de
daten.bmfsfj.de
daten.bremen.de
daten.diepholz.de/
daten.halle.de
daten.hamburg.de
daten.rlp.de
daten.transparenz.hamburg.de
daten.ulm.de
daten.wuppertal.de
datenadler.de
datenfragen.de
datenportal.bmbf.de
