URL,Portal,,
http://hamburg-port-authority.de,unknown,,
http://kleve.de,unknown,,
http://schule-bw.de,unknown,,
http://bpb.de,unknown,,
http://bonn.de,unknown,,
http://stellenmarkt.nrw.de,unknown,,
http://adressen.leipzig.de,unknown,,
http://zefys.staatsbibliothek-berlin.de,unknown,,
http://gis.hochsauerlandkreis.de,unknown,,
http://mainzerring.de,unknown,,
http://opendata.sachsen.de,unknown,,
http://bast.de,unknown,,
http://www.radverkehrsnetz.nrw.de,unknown,,
http://bundestag.de,unknown,,
http://bundesregierung.de,unknown,,
http://flow.dai-labor.de,unknown,,
http://databox.bonn.de,unknown,,
http://geoservices.krzn.de,unknown,,
http://vrsinfo.de,unknown,,
http://bundespolizei.de,unknown,,
http://kiel.de,unknown,,
http://www.portalnok.de,unknown,,
http://geodienste-hamburg.de,unknown,,
http://mehrgenerationenhaeuser.de,unknown,,
http://odlinfo.bfs.de,unknown,,
http://lab.technologiestiftung-berlin.de,unknown,,
http://duisburgkontor.de,unknown,,
http://transparenz.bremen.de,unknown,,
http://opendata.dresden.de,unknown,,
http://www.regionalstatistik.de,unknown,,
http://geodownload.sachsen.de,unknown,,
http://umweltprobenbank.de,unknown,,
http://bmwi.de,unknown,,
http://open.muelheim-ruhr.de,unknown,,
http://badv.bund.de,unknown,,
http://soest.de,unknown,,
http://aachen.de,unknown,,
http://hochsauerlandkreis.de,unknown,,
http://stolpersteine-berlin.de,unknown,,
http://www.statistik-berlin-brandenburg.de,unknown,,
http://offenedaten.kreis-kleve.de,unknown,,
http://service.brandenburg.de,unknown,,
http://datenschutz.rlp.de,unknown,,
http://secure.gelsenkirchen.de,unknown,,
http://www.altenburg.eu,unknown,,
http://kreis-soest.de,unknown,,
http://lubw.baden-wuerttemberg.de,unknown,,
http://geoportal.kreis-euskirchen.de,unknown,,
http://berlin.de,unknown,,
http://vmp-rheinland.de,unknown,,
http://stadtplan.bonn.de,unknown,,
http://region.statistik-nord.de,unknown,,
http://mstatistik-muenchen.de,unknown,,
http://bundeshaushalt-info.de,unknown,,
http://www.pegelmobil.de,unknown,,
http://rohstofftransparenz.de,unknown,,
http://gdws.wsv.bund.de,unknown,,
http://lod.b3kat.de,unknown,,
http://www.bfarm.de,unknown,,
http://s3-eu-west-1.amazonaws.com,unknown,,
https://www.luen-ni.de,unknown,,
http://wabiha.de,unknown,,
http://vhs-koeln.de,unknown,,
http://opengeodata.nrw.de,unknown,,
http://buergerhaushalt.stadt-koeln.de,unknown,,
http://finanzdaten.ikvs.de,unknown,,
http://kreis-swm.de,unknown,,
http://wiki.dbpedia.org,unknown,,
http://antidiskriminierungsstelle.de,unknown,,
http://bmvg.de,unknown,,
http://datenportal.bmbf.de,unknown,,
http://vvo-online.de,unknown,,
http://gdi.ti.bund.de,unknown,,
http://www.jki.bund.de,unknown,,
http://cdc.dwd.de,unknown,,
http://buergerinfo.moers.de,unknown,,
http://map.jena.de,unknown,,
http://ww.tc-berlin-weissensee.de,unknown,,
http://bmi.bund.de,unknown,,
http://www.bundessortenamt.de,unknown,,
http://stadt-koeln.de,unknown,,
http://pub.uni-bielefeld.de,unknown,,
http://polizei.nrw,unknown,,
http://www.bra.nrw.de,unknown,,
http://sags-uns.stadt-koeln.de,unknown,,
http://dip21.bundestag.de,unknown,,
http://musenkuss-duesseldorf.de,unknown,,
http://moenchengladbach.de,unknown,,
http://herne.de,unknown,,
http://daten.wuppertal.de,unknown,,
http://bremen.de,unknown,,
http://duisburg.de,unknown,,
http://data.ulm.de,unknown,,
http://www.landesvermessung.sachsen.de,unknown,,
http://opendata.kreis-viersen.de,unknown,,
http://gdi1.geo.bremen.de,unknown,,
http://ioer-monitor.de,unknown,,
http://sozialportal.rlp.de,unknown,,
http://geo.sv.rostock.de,unknown,,
http://www.infosis.uba.de,unknown,,
http://vbb.de,unknown,,
http://www.wms.nrw.de,unknown,,
http://dgg.bam.de,unknown,,
http://zoll.de,unknown,,
http://bdbos.bund.de,unknown,,
http://geoportal-niederrhein.de,unknown,,
https://api.deutsche-digitale-bibliothek.de,unknown,,
http://fritz.freiburg.de,unknown,,
http://bzga.de,unknown,,
http://bonn-macht-mit.de,unknown,,
http://datarun.s3.amazonaws.com,unknown,,
http://luft.hamburg.de,unknown,,
http://bmvi.de,unknown,,
http://gdz.bkg.bund.de,unknown,,
http://www.bag.bund.de,unknown,,
http://gdi.gelsenkirchen.de,unknown,,
http://opendata.mannheim.de,unknown,,
http://spiellandschaft-bremen.de,unknown,,
http://geodaten.sachsen.de,unknown,,
http://vhs-bonn.de,unknown,,
http://kultusportal-bw.de,unknown,,
http://geoportal.bafg.de,unknown,,
http://hochmoseluebergang.rlp.de,unknown,,
http://leipzig.de,unknown,,
http://data.gelsen.net,unknown,,
http://gis.uba.de,unknown,,
http://erfurt.freifunk.net,unknown,,
http://verwaltung-innovativ.de,unknown,,
http://wahlen.bonn.de,unknown,,
http://lak-energiebilanzen.de,unknown,,
http://daten.transparenz.hamburg.de,unknown,,
http://downloads.dbpedia.org,unknown,,
http://lia.nrw.de,unknown,,
http://umweltbundesamt.de,unknown,,
http://beteiligungsbericht.fb.hamburg.de,unknown,,
http://opendata.halle.de,unknown,,
http://bsis.aachen.de,unknown,,
http://wahlen.kdvz-frechen.de,unknown,,
http://verbraucherportal-bw.de,unknown,,
http://awbkoeln.de,unknown,,
http://vhsit.berlin.de,unknown,,
http://meerbusch.de,unknown,,
http://www.grundbuchportal.de,unknown,,
http://daten.berlin.de,unknown,,
http://vergabe.stadt-koeln.de,unknown,,
http://mwk.baden-wuerttemberg.de,unknown,,
http://elwis.de,unknown,,
http://Daten-hamburg.de,unknown,,
http://produktcenter.bgr.de,unknown,,
http://mydataset.com,unknown,,
http://www.geodaten1.aachen.de,unknown,,
http://offenes-jena.de,unknown,,
http://jum.baden-wuerttemberg.de,unknown,,
http://swb-konzern.de,unknown,,
http://efre.nrw.de,unknown,,
http://geoportal.braunschweig.de,unknown,,
http://offenedaten.kdvz-frechen.de,unknown,,
http://raw.github.com,unknown,,
http://bstu.de,unknown,,
http://opendata.zitsh.de,unknown,,
http://offenedaten.moers.de,unknown,,
http://datenadler.de,unknown,,
http://opendata.bvl.bund.de,unknown,,
http://studieninfo-bw.de,unknown,,
http://geoportal.rlp.de,unknown,,
http://bundeskanzlerin.de,unknown,,
http://gsi-berlin.info,unknown,,
http://www.portal-tideelbe.de,unknown,,
http://ogc.muenchen.de,unknown,,
http://ble.de,unknown,,
http://bund.de,unknown,,
http://statistik.bremen.de,unknown,,
http://stadtplan.braunschweig.de,unknown,,
http://opendata.wesel.de,unknown,,
http://the-locator.eu,unknown,,
http://ulm.de,unknown,,
http://haushalt.fm.nrw.de,unknown,,
http://geodienste.hamburg.de,unknown,,
http://onlinesuche.rlp.de,unknown,,
http://geoshop.metropoleruhr.de,unknown,,
http://baysis.bayern.de,unknown,,
http://duesseldorf.de,unknown,,
http://bochum.de,unknown,,
http://www.gesetze-im-internet.de,unknown,,
http://nord-sued-bruecken.de,unknown,,
http://moers.de,unknown,,
http://bib.bund.de,unknown,,
http://geodaten-mittenwalde.gdi-server.de,unknown,,
http://thw.de,unknown,,
http://daten.halle.de,unknown,,
https://bundesnetzagentur.de,unknown,,
http://bundeskartellamt.de,unknown,,
http://metaver.de,unknown,,
http://sevas.nrw.de,unknown,,
http://www.ig.nrw.de,unknown,,
http://opendata.service-bw.de,unknown,,
http://web3.karlsruhe.de,unknown,,
http://mpanrw.de,unknown,,
http://www.geodatenzentrum.de,unknown,,
http://wsv.de,unknown,,
http://kreis-wesel.de,unknown,,
http://www.evergabe-online.de,unknown,,
http://www.standardsicherung.schulministerium.nrw.de,unknown,,
http://opendata.hochsauerlandkreis.de,unknown,,
http://bcp-bonn.de,unknown,,
http://netz-duesseldorf.de,unknown,,
http://daten.bremen.de,unknown,,
